ind_ID,sppcode,mue_frac,alb_frac,ste_frac,mac1_frac,mac2_frac,bic_frac,lat,long
QUE002155_alb,2,1e-05,0.532823272727273,1e-05,0.132637090909091,1e-05,0.334509454545454,44.4463947,-73.220154
QUE002187_mac,1,1e-05,1e-05,1e-05,0.863537818181818,0.136422181818182,1e-05,38.51089,-90.55987
QUE002188_ste,4,1e-05,1.07272727272727e-05,0.999949181818182,1e-05,1e-05,1e-05,38.51146,-90.55917
QUE002189_mue,5,0.999949181818182,1e-05,1e-05,1e-05,1.08181818181818e-05,1e-05,38.51135,-90.55921
QUE002196_bic,3,1.1e-05,1e-05,1.00909090909091e-05,1e-05,1.01818181818182e-05,0.999948727272727,38.22667,-91.08296
QUE002209_ste,4,1e-05,1.07272727272727e-05,0.999948636363636,1.01818181818182e-05,1e-05,1.04545454545455e-05,38.21813,-91.08355
QUE002210_alb,2,1e-05,0.999949909090909,1.00909090909091e-05,1e-05,1e-05,1e-05,38.21718,-91.08636
QUE002219_ste,4,1e-05,1.02727272727273e-05,0.999948636363636,1.02727272727273e-05,1e-05,1.08181818181818e-05,38.21786,-91.09209
QUE002247_mue,5,0.999948818181818,1.07272727272727e-05,1e-05,1e-05,1.04545454545455e-05,1e-05,38.97887,-94.80495
QUE002251_mac,1,1.15454545454545e-05,1e-05,1.02727272727273e-05,0.156558272727273,0.843399818181818,1e-05,38.98007,-94.8052
QUE002252_ste,4,1e-05,1.01818181818182e-05,0.999949818181818,1e-05,1e-05,1e-05,38.98014,-94.80504
QUE002253_alb,2,1e-05,0.999949545454545,1e-05,1e-05,1.04545454545455e-05,1e-05,38.9803,-94.80532
QUE002285_mue,5,0.999949636363636,1e-05,1e-05,1.03636363636364e-05,1e-05,1e-05,38.8087,-95.19389
QUE002302_mac,1,1e-05,1e-05,1e-05,0.378045090909091,0.621914909090909,1e-05,39.10339,-96.59616
QUE002303_mue,5,0.999949545454546,1e-05,1e-05,1.01818181818182e-05,1e-05,1.02727272727273e-05,39.10158,-96.59982
QUE002304_mac,1,1e-05,1.00909090909091e-05,1.01818181818182e-05,0.497379818181818,0.502579909090909,1e-05,39.10791,-96.60469
