ind_ID spp Pure_mac Pure_bic F1 F2 Bx1_mac Bx1_bic Bx2_mac Bx2_bic Bx3_mac Bx3_bic
QUE001638_mac mac 0.8639 0 0 0 0 0 0.00055 0 0.13554 0
QUE001644_mac mac 0.99903 0 0 0 0 0 0 0 0.00097 0
QUE001645_mac mac 0.99978 0 0 0 0 0 0 0 0.00022 0
QUE001647_mac mac 0.99926 0 0 0 0 0 0 0 0.00074 0
QUE001648_mac mac 0.99813 0 0 0 0 0 0 0 0.00187 0
QUE001650_mac mac 0 0 0 1e-05 0.91394 0 0.0813 0 0.00475 0
QUE001651_mac mac 0.99887 0 0 0 0 0 0 0 0.00113 0
QUE001656_mac mac 0.99748 0 0 0 0 0 0 0 0.00251 0
QUE001658_mac mac 0.9997 0 0 0 0 0 0 0 3e-04 0
QUE001661_mac mac 0.91436 0 0 0 0 0 0.00054 0 0.0851 0
QUE001664_mac mac 0.99916 0 0 0 0 0 0 0 0.00084 0
QUE001667_mac mac 0.99923 0 0 0 0 0 0 0 0.00077 0
QUE001668_mac mac 0.99295 0 0 0 0 0 1e-05 0 0.00705 0
QUE001676_mac mac 0.99127 0 0 0 0 0 0 0 0.00873 0
QUE001677_mac mac 0.99974 0 0 0 0 0 0 0 0.00026 0
QUE001678_mac mac 0.99897 0 0 0 0 0 0 0 0.00103 0
QUE001679_mac mac 0.98805 0 0 0 0 0 1e-05 0 0.01194 0
QUE001684_mac mac 0.99774 0 0 0 0 0 0 0 0.00226 0
QUE001686_mac mac 0.99902 0 0 0 0 0 0 0 0.00098 0
QUE001687_mac mac 0.16665 0 0 0 0 0 0.02536 0 0.80799 0
QUE001690_mac mac 0.9969 0 0 0 0 0 0 0 0.0031 0
QUE001691_mac mac 0.99709 0 0 0 0 0 0 0 0.00291 0
QUE001697_mac mac 0.99613 0 0 0 0 0 0 0 0.00387 0
QUE001700_mac mac 0.9994 0 0 0 0 0 0 0 6e-04 0
QUE001705_mac mac 0.99267 0 0 0 0 0 0 0 0.00733 0
QUE001706_mac mac 0.9993 0 0 0 0 0 0 0 7e-04 0
QUE001713_mac mac 0.98991 0 0 0 0 0 1e-05 0 0.01008 0
QUE001716_mac mac 0.56582 0 0 0 0 0 0.00031 0 0.43386 0
QUE001719_mac mac 0.98316 0 0 0 0 0 2e-05 0 0.01681 0
QUE001721_mac mac 0.94998 0 0 0 0 0 0.00023 0 0.04978 0
QUE001723_mac mac 0.99876 0 0 0 0 0 0 0 0.00124 0
QUE001724_mac mac 0.99095 0 0 0 0 0 1e-05 0 0.00905 0
QUE001652_mac mac 0.91822 0 0 0 0 0 0.00046 0 0.08132 0
QUE001655_mac mac 0.97954 0 0 0 0 0 2e-05 0 0.02044 0
QUE001670_mac mac 0.88323 0 0 0 0 0 7e-04 0 0.11607 0
QUE001673_mac mac 0.99707 0 0 0 0 0 0 0 0.00293 0
QUE001680_mac mac 0.99548 0 0 0 0 0 0 0 0.00451 0
QUE001682_mac mac 0.82991 0 0 0 0 0 0.00054 0 0.16954 0
