mukey,ind_ID,lat,long,ffd,areasymbol,musym,muname,caco3_r,cec7_r,ec_r,ecec_r,gypsum_r,ph1to1h2o_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,lep_r,om_r,ksat_r,awc_r,pondfreqcl_dc,flodfreqcl_dc,drclassdcd,aws0100wta,surf_texture,min_surf_texture,total_aws,avg_soildepth
272444,QUE002110,41.53273,-87.2948,154,IN089,BlA,Blount silt loam; Lake Michigan Lobe; 0 to 2 percent slopes,6.7,14.11,0,12.5,0,6.63,32.07,14.01,53.92,1.51,2.94,0.81,4.11,0.15,None,None,Somewhat poorly drained,14.45,sil,sil,18.67,NA
272444,QUE002114,41.53403,-87.29146,154,IN089,BlA,Blount silt loam; Lake Michigan Lobe; 0 to 2 percent slopes,6.7,14.11,0,12.5,0,6.63,32.07,14.01,53.92,1.51,2.94,0.81,4.11,0.15,None,None,Somewhat poorly drained,14.45,sil,sil,18.67,NA
272444,QUE002119,41.53239,-87.29708,154,IN089,BlA,Blount silt loam; Lake Michigan Lobe; 0 to 2 percent slopes,6.7,14.11,0,12.5,0,6.63,32.07,14.01,53.92,1.51,2.94,0.81,4.11,0.15,None,None,Somewhat poorly drained,14.45,sil,sil,18.67,NA
276600,QUE002132,42.1665869,-73.412025,122,MA003,272A,Hoosic gravelly fine sandy loam; 0 to 3 percent slopes,0,NA,0,6.16,0,5.17,3.79,80.56,15.65,1.47,1.5,0.95,113.83,0.05,None,None,Somewhat excessively drained,5.49,gr-fsl,gr-fsl,7.57,163
276600,QUE002133,42.1666494,-73.41209,122,MA003,272A,Hoosic gravelly fine sandy loam; 0 to 3 percent slopes,0,NA,0,6.16,0,5.17,3.79,80.56,15.65,1.47,1.5,0.95,113.83,0.05,None,None,Somewhat excessively drained,5.49,gr-fsl,gr-fsl,7.57,163
279234,QUE002161,44.7174297,-73.32585,135,VT013,BeB,Benson rocky silt loam; over shaly limestone; 3 to 8 percent slopes,0,10.86,0,NA,0,6.92,20,26.5,53.5,1.51,1.5,2.03,6.76,0.13,None,None,Somewhat excessively drained,7.15,sil,sil,8.17,NA
279244,QUE002164,44.7473055,-73.31218,135,VT013,CbA,Covington silty clay loam; 0 to 3 percent slopes,0,24.69,0,NA,0,6.78,67,9.3,23.7,1.36,7.5,2.61,0.31,0.12,None,None,Poorly drained,11.51,sicl,sicl,17.32,165
279245,QUE002160,44.6675241,-73.344894,135,VT013,CbB,Covington silty clay loam; 3 to 8 percent slopes,0,24.69,0,NA,0,6.78,67,9.3,23.7,1.36,7.5,2.61,0.31,0.12,None,None,Poorly drained,11.51,sicl,sicl,17.32,165
281273,QUE002150,44.2339356,-73.243122,135,VT001,Lh,Livingston clay,0,28.52,0,NA,0,6.51,72.75,8.12,19.13,1.37,4.5,2.55,1.09,0.11,None,None,Very poorly drained,11.65,c,c,17.75,157
281273,QUE002148,44.2343287,-73.243211,135,VT001,Lh,Livingston clay,0,28.52,0,NA,0,6.51,72.75,8.12,19.13,1.37,4.5,2.55,1.09,0.11,None,None,Very poorly drained,11.65,c,c,17.75,157
