ind_ID,sppcode,species_frac,admix_frac,lat,long,site,dist_from_rangeedge,sympspp_bin,sympspp_num,hab_suit
QUE002326_mac,mac,0.528156,0.471844,43.85323,-83.923,PinconningMI,46771.3481882673,Y,2,0.752364635467529
QUE002336_mac,mac,0.99996,4.000000000004e-05,42.30836,-83.75671,AnnArborMI,97817.2412759957,Y,3,0.742943108081818
QUE002337_alb,alb,0.99995,4.99999999999945e-05,42.30474,-83.7508,AnnArborMI,201137.360220892,Y,3,0.607199311256409
QUE002355_alb,alb,0.987758,0.012242,42.76662,-84.39114,EastLansingMI,228729.158892925,Y,3,0.634829699993134
QUE002361_bic,F1,0.479334,0.520666,42.76526,-84.38254,EastLansingMI,70436.1510441968,Y,3,0.790275990962982
QUE002367_mac,mac,0.99996,4.000000000004e-05,43.01685,-90.11481,DodgevilleWI,241477.04892215,Y,3,0.749236762523651
QUE002399_alb,alb,0.99995,4.99999999999945e-05,43.01706,-88.43531,OttawaWI,201512.978965259,Y,3,0.638762474060059
QUE002400_mac,mac,0.991394,0.008606,43.01607,-88.43513,OttawaWI,172461.211640864,Y,3,0.806708931922913
QUE002424_mac,mac,0.99996,4.000000000004e-05,44.36388,-93.93543,OttawaBluffsMN,230217.894356187,Y,2,0.859787046909332
QUE002471_mac,mac,0.994201,0.005799,40.73122,-83.09328,DaughmerOH,99069.9457130959,Y,3,0.68144679069519
QUE002480_mac,mac,0.99996,3.9999999999929e-05,41.55069,-84.35969,GollWoodsOH,193026.656916924,Y,3,0.725952446460724
QUE002481_mue,mue,0.99995,4.99999999999945e-05,41.55096,-84.35846,GollWoodsOH,157579.246490543,Y,3,0.62162709236145
QUE002493_alb,alb,0.99995,4.99999999999945e-05,41.5522,-84.35895,GollWoodsOH,291460.950849542,Y,3,0.634730696678162
QUE002526_alb,alb,0.99995,4.99999999999945e-05,42.18327,-87.91426,RyersonWoodsIL,299547.771349676,Y,3,0.623619079589844
QUE002528_bic,bic,0.99995,4.99999999999945e-05,42.18431,-87.91628,RyersonWoodsIL,166356.174789077,Y,3,0.824440717697144
QUE002535_alb,alb,0.981374,0.018626,41.82519,-87.93085,FullersburgWoodsIL,338362.722036658,Y,3,0.593897521495819
QUE002579_mac,mac,0.990419,0.00958100000000006,43.81684,-103.25005,CusterSD,26206.9776902486,N,0,0.132400676608086
QUE002364_mac,mac,0.99995,4.99999999999945e-05,43.01643,-90.11418,DodgevilleWI,241496.952100615,Y,3,0.749236762523651
QUE002369_mac,mac,0.993272,0.00672800000000007,43.02128,-90.11695,DodgevilleWI,241108.970165477,Y,3,0.739792108535767
QUE002370_alb,alb,0.99995,4.99999999999945e-05,43.02158,-90.1181,DodgevilleWI,223403.900501406,Y,3,0.640711724758148
QUE002371_mac,mac,0.99996,4.000000000004e-05,43.02073,-90.11771,DodgevilleWI,241190.838252448,Y,3,0.739792108535767
QUE002373_mac,mac,0.99996,4.000000000004e-05,43.0193,-90.11692,DodgevilleWI,241306.080414142,Y,3,0.739792108535767
QUE002374_mac,mac,0.99996,3.9999999999929e-05,43.01828,-90.11701,DodgevilleWI,241411.355103525,Y,3,0.739792108535767
QUE002375_alb,alb,0.99995,4.99999999999945e-05,43.01817,-90.11679,DodgevilleWI,223787.843291423,Y,3,0.640711724758148
QUE001610_mac,mac,0.989121,0.010879,41.81347,-88.06293,MortonArbIL,228097.78243531,Y,3,0.776197135448456
QUE001796_mac,mac,0.994381,0.00561900000000004,42.03033,-93.632,AmesIA,402092.221386499,Y,3,0.849085748195648
QUE001846_alb,alb,0.99995,4.99999999999945e-05,37.97414,-92.76266,HaHaTonkaMO,142196.771433755,Y,4,0.599768340587616
QUE001871_ste,ste,0.934483,0.065517,36.84354,-96.4292,PawhuskaOK,35416.5026268177,Y,3,0.696040153503418
QUE001877_ste,F1,0.560517,0.439483,36.84541,-96.41918,PawhuskaOK,35870.4416886005,Y,3,0.696941912174225
QUE001878_mac,mac,0.99996,4.000000000004e-05,36.2107,-95.89476,TulsaOK,162843.408840146,Y,3,0.750124394893646
QUE001882_mac,mac,0.935414,0.064586,36.22064,-95.89876,TulsaOK,164002.055737366,Y,3,0.759258091449738
QUE001885_alb,F1,0.504339,0.495661,36.21812,-95.90014,TulsaOK,14769.5858554547,Y,3,0.251877278089523
QUE001886_mac,F1,0.613884,0.386116,35.45351,-98.35412,HintonOK,22682.1109109425,Y,2,0.591780185699463
